sigma,n_hidden,n_ensemble,best_lr
noise-0.5sigma,2,25,0.0002592943797404667
noise-0.5sigma,2,50,0.0002592943797404667
noise-0.5sigma,2,100,1.610262027560939e-05
noise-0.5sigma,3,25,3.5622478902624444e-05
noise-0.5sigma,3,50,5.2983169062837125e-05
noise-0.5sigma,3,100,0.1
noise-0.5sigma,4,25,2.395026619987486e-05
noise-0.5sigma,4,50,0.009236708571873866
noise-0.5sigma,4,100,0.006210169418915616
noise-0.5sigma,5,25,7.2789538439831465e-06
noise-0.5sigma,5,50,0.0452035365636025
noise-0.5sigma,5,100,0.00011721022975334806
noise-0.5sigma,6,25,2.395026619987486e-05
noise-0.5sigma,6,50,0.06723357536499334
noise-0.5sigma,6,100,1e-06
noise-0.5sigma,7,25,3.5622478902624444e-05
noise-0.5sigma,7,50,0.0002592943797404667
noise-0.5sigma,7,100,0.0028072162039411786
noise-0.5sigma,8,25,1.487352107293512e-06
noise-0.5sigma,8,50,0.013738237958832637
noise-0.5sigma,8,100,0.1
noise-1sigma,2,25,0.0001743328822199989
noise-1sigma,2,50,0.0028072162039411786
noise-1sigma,2,100,0.013738237958832637
noise-1sigma,3,25,0.00038566204211634724
noise-1sigma,3,50,2.395026619987486e-05
noise-1sigma,3,100,1.487352107293512e-06
noise-1sigma,4,25,3.290344562312671e-06
noise-1sigma,4,50,0.1
noise-1sigma,4,100,0.0018873918221350976
noise-1sigma,5,25,0.0028072162039411786
noise-1sigma,5,50,1.082636733874054e-05
noise-1sigma,5,100,3.5622478902624444e-05
noise-1sigma,6,25,0.0012689610031679235
noise-1sigma,6,50,0.0018873918221350976
noise-1sigma,6,100,0.1
noise-1sigma,7,25,0.1
noise-1sigma,7,50,0.03039195382313201
noise-1sigma,7,100,1.082636733874054e-05
noise-1sigma,8,25,0.0012689610031679235
noise-1sigma,8,50,0.06723357536499334
noise-1sigma,8,100,7.880462815669905e-05
noise-2sigma,2,25,0.0012689610031679235
noise-2sigma,2,50,0.0452035365636025
noise-2sigma,2,100,2.2122162910704504e-06
noise-2sigma,3,25,1.610262027560939e-05
noise-2sigma,3,50,0.004175318936560405
noise-2sigma,3,100,4.893900918477499e-06
noise-2sigma,4,25,0.0018873918221350976
noise-2sigma,4,50,0.02043359717856944
noise-2sigma,4,100,0.1
noise-2sigma,5,25,0.0002592943797404667
noise-2sigma,5,50,0.1
noise-2sigma,5,100,0.06723357536499334
noise-2sigma,6,25,0.1
noise-2sigma,6,50,0.03039195382313201
noise-2sigma,6,100,0.1
noise-2sigma,7,25,0.03039195382313201
noise-2sigma,7,50,0.0452035365636025
noise-2sigma,7,100,0.02043359717856944
noise-2sigma,8,25,0.1
noise-2sigma,8,50,0.1
noise-2sigma,8,100,7.880462815669905e-05
