sigma,n_hidden,n_ensemble,avg_rmse,ensemble_rmse,best_lr
noise-0.5sigma,2,100,28.77075616047452,25.153104967695352,1.610262027560939e-05
noise-0.5sigma,2,25,28.754721210441744,24.9185271639532,0.0002592943797404
noise-0.5sigma,2,50,29.27395775691353,24.417298899883367,0.0002592943797404
noise-0.5sigma,3,100,23.62165579128927,23.400570451964207,0.1
noise-0.5sigma,3,25,29.141024350766774,25.685145250091963,3.5622478902624444e-05
noise-0.5sigma,3,50,27.062657725066728,24.013306998947918,5.2983169062837125e-05
noise-0.5sigma,4,100,24.85450187868524,24.069308659706483,0.0062101694189156
noise-0.5sigma,4,25,25.348920219505345,23.760008912187285,2.395026619987486e-05
noise-0.5sigma,4,50,24.167597448108705,23.76900952392546,0.0092367085718738
noise-0.5sigma,5,100,27.89782079414826,24.939117215873924,0.0001172102297533
noise-0.5sigma,5,25,27.16547403010762,25.432730661440637,7.278953843983146e-06
noise-0.5sigma,5,50,23.71843628044547,23.53488497570748,0.0452035365636025
noise-0.5sigma,6,100,27.262956674753635,24.71758828322036,1e-06
noise-0.5sigma,6,25,26.824468141253504,24.384009165676655,2.395026619987486e-05
noise-0.5sigma,6,50,23.720826998252683,23.50898246868498,0.0672335753649933
noise-0.5sigma,7,100,24.689598160933333,23.86503540296531,0.0028072162039411
noise-0.5sigma,7,25,27.691795819862147,26.338656695843394,3.5622478902624444e-05
noise-0.5sigma,7,50,26.327841641765808,24.651114092296257,0.0002592943797404
noise-0.5sigma,8,100,23.670746270091527,23.512183632009965,0.1
noise-0.5sigma,8,25,25.808750974144047,24.303480434403273,1.487352107293512e-06
noise-0.5sigma,8,50,23.66571445218294,23.567198003523533,0.0137382379588326
noise-1sigma,2,100,31.643402066878757,31.115765739829275,0.0137382379588326
noise-1sigma,2,25,34.73811675126876,31.353281715077024,0.0001743328822199
noise-1sigma,2,50,32.85710543303344,31.165090887672136,0.0028072162039411
noise-1sigma,3,100,34.53093913699939,31.692718300643186,1.487352107293512e-06
noise-1sigma,3,25,35.62378641786455,33.67184383647372,0.0003856620421163
noise-1sigma,3,50,33.759368059215966,31.97933833868104,2.395026619987486e-05
noise-1sigma,4,100,33.07218935380829,31.41562200372623,0.001887391822135
noise-1sigma,4,25,33.58553016486195,31.251321152022893,3.290344562312671e-06
noise-1sigma,4,50,31.039985247459768,30.85931091817676,0.1
noise-1sigma,5,100,33.539776648071395,31.525647634296472,3.5622478902624444e-05
noise-1sigma,5,25,33.0376954647353,31.984162178232474,0.0028072162039411
noise-1sigma,5,50,32.74698661630975,31.40351595610558,1.082636733874054e-05
noise-1sigma,6,100,31.15274035820419,30.896491002006012,0.1
noise-1sigma,6,25,32.59120042761541,31.730496377528578,0.0012689610031679
noise-1sigma,6,50,32.321430188665715,31.342316185637788,0.001887391822135
noise-1sigma,7,100,34.0678808976591,32.24072902176523,1.082636733874054e-05
noise-1sigma,7,25,30.955182740115085,30.8373179059344,0.1
noise-1sigma,7,50,30.945648822030456,30.83568585884398,0.030391953823132
noise-1sigma,8,100,33.288711243342696,31.93736080300709,7.880462815669905e-05
noise-1sigma,8,25,32.14049257762935,31.524597221278462,0.0012689610031679
noise-1sigma,8,50,31.0152252208229,30.878026554662483,0.0672335753649933
noise-2sigma,2,100,51.37098857076685,49.844096232271184,2.2122162910704504e-06
noise-2sigma,2,25,52.263223159907646,50.02847288281887,0.0012689610031679
noise-2sigma,2,50,49.678738606520795,49.563963380501626,0.0452035365636025
noise-2sigma,3,100,51.59011761766328,50.17370710293025,4.893900918477499e-06
noise-2sigma,3,25,51.34149844066997,50.27317687818934,1.610262027560939e-05
noise-2sigma,3,50,50.54225991451294,50.15830885821237,0.0041753189365604
noise-2sigma,4,100,49.66657682022983,49.54828909305722,0.1
noise-2sigma,4,25,51.67948021468392,50.28160055509968,0.001887391822135
noise-2sigma,4,50,49.68680462521771,49.63067610855095,0.0204335971785694
noise-2sigma,5,100,49.654094355853786,49.52361103157999,0.0672335753649933
noise-2sigma,5,25,51.427938618242436,50.20231477572426,0.0002592943797404
noise-2sigma,5,50,49.68551879706281,49.560054189382726,0.1
noise-2sigma,6,100,49.63913946017603,49.5413883661969,0.1
noise-2sigma,6,25,49.66026407987391,49.51882192379782,0.1
noise-2sigma,6,50,49.606153860577244,49.54909028769785,0.030391953823132
noise-2sigma,7,100,49.6591526328085,49.61080815159664,0.0204335971785694
noise-2sigma,7,25,49.609658198458256,49.54074462537035,0.030391953823132
noise-2sigma,7,50,49.6162726410618,49.51142000831543,0.0452035365636025
noise-2sigma,8,100,51.31451894545171,49.94850311873918,7.880462815669905e-05
noise-2sigma,8,25,49.6595116068532,49.538077722771845,0.1
noise-2sigma,8,50,49.627815870623444,49.527888895234696,0.1
