chl,dox,spm,sal,temp
2.1,9,53,17.9,11.54
2.2,9,53,17.9,11.54
2.2,9.1,53,17.9,11.54
2.2,9.1,53,17.91,11.56
2.3,9.1,66,18.08,11.61
2.4,9.1,72,18.24,11.64
2.4,9.1,77,18.3,11.65
2.4,9.1,85,18.32,11.66
2.4,9.1,85,18.4,11.68
2.4,9.1,84,18.44,11.7
2.4,9,89,18.56,11.73
2.5,9.1,91,18.64,11.73
2.5,9.1,94,18.7,11.73
2.1,9.1,51,18.99,11.5
2.1,9.2,51,19.09,11.57
2.1,9.1,51,19.37,11.72
2.1,9,51,19.54,11.75
2.1,9,58,19.66,11.71
2.1,9.1,68,19.74,11.7
2.2,9,70,19.78,11.73
2.2,9,76,19.81,11.74
2.2,9.1,77,19.86,11.77
2.2,9,79,19.91,11.81
2.3,9,85,19.97,11.84
2.5,9,88,20.05,11.86
3.2,9,117,20.08,11.86
3.3,9,170,20.11,11.86
1.7,9.1,26,21.27,11.6
1.7,9.1,26,21.27,11.6
1.7,9.1,26,21.27,11.6
1.7,9.1,26,21.27,11.6
1.8,9.1,26,21.33,11.59
1.8,9.1,27,21.36,11.59
1.8,9.1,31,21.37,11.58
1.8,9.1,34,21.39,11.57
1.9,9.1,36,21.4,11.57
1.9,9.1,38,21.41,11.57
1.9,9.1,39,21.42,11.58
1.9,9.1,41,21.42,11.58
1.9,9.1,43,21.42,11.58
1.3,9,16,21.04,11.73
1.3,9.1,16,21.02,11.75
1.3,9.1,16,21.03,11.74
1.3,9,16,21.03,11.74
1.3,9,16,21.19,11.65
1.2,9,16,21.3,11.61
1.2,9,19,21.55,11.58
1.3,9,22,21.7,11.57
1.3,9,23,21.77,11.58
1.3,9,24,21.84,11.58
1.3,9,26,21.86,11.58
1,9.2,16,17.58,11.76
1.1,9.3,17,18,11.73
1.1,9.2,17,18.24,11.72
1.1,9.1,16,18.31,11.72
1.2,9.1,16,19.41,11.6
1.2,9.1,17,19.56,11.59
1.2,9.1,18,19.66,11.6
1.2,9.2,19,19.96,11.64
1.2,9.2,19,20.29,11.7
1.2,9.1,20,20.74,11.79
1.3,9.1,20,20.92,11.82
1.3,9.1,20,21.09,11.83
1.4,9,21,21.48,11.87
1.5,9,26,21.77,11.89
1.7,9,49,21.99,11.91
1.8,9,65,22.04,11.91
1.8,9,75,22.09,11.92
1.9,9,84,22.11,11.92
1.9,9,101,22.12,11.92
8.6,9.8,22,20.47,13.91
8.6,9.8,22,20.49,13.89
8.3,9.8,26,20.49,13.89
8,9.8,29,20.49,13.89
8.4,9.8,31,20.5,13.88
8.6,9.8,33,20.52,13.88
8.5,9.8,37,20.54,13.87
8.5,9.8,39,20.55,13.87
8.4,9.8,39,20.55,13.87
8.4,9.8,40,20.55,13.87
15,9.9,39,18.32,14.31
15,9.9,42,18.32,14.28
14.5,9.9,44,18.33,14.28
14.2,9.9,49,18.37,14.24
14.5,9.9,55,18.4,14.22
14.8,9.9,62,18.41,14.22
15,9.9,78,18.41,14.21
15,9.9,85,18.41,14.21
15.3,9.9,94,18.42,14.2
15.5,9.9,100,18.42,14.2
15.4,9.9,114,18.42,14.19
15.5,9.9,129,18.43,14.19
16.4,9.9,25,17.23,15.16
16.2,9.9,25,17.31,15.05
15.6,9.9,28,17.39,14.93
15,9.9,31,17.53,14.81
14.9,9.9,41,17.6,14.76
15,9.9,58,17.6,14.75
15,9.9,76,17.65,14.73
15.4,9.9,87,17.67,14.71
16.1,9.9,101,17.69,14.7
17,9.9,121,17.78,14.65
18.1,9.9,148,17.81,14.64
19.3,9.9,258,17.82,14.64
19.4,9.9,333,17.83,14.64
14.7,9.8,26,16.51,15.54
14.7,9.8,27,16.58,15.36
14.5,9.8,29,16.63,15.24
14.3,9.8,32,16.66,15.23
14.3,9.8,34,16.73,15.17
14.6,9.8,40,16.79,15.14
14.9,9.8,41,16.82,15.12
15.5,9.8,44,16.88,15.1
16,9.8,48,16.97,15.05
17,9.8,58,17.02,15.05
18.6,9.8,75,17.03,15.05
20.1,9.8,136,17.05,15.03
20.1,9.8,216,17.08,15
13.2,9.6,171,14.62,15.59
13.3,9.6,219,14.71,15.59
13.7,9.7,276,14.79,15.61
14,9.7,282,14.85,15.61
14.1,9.7,302,14.88,15.62
14.4,9.7,394,14.9,15.62
14.1,9.7,462,14.93,15.62
13.8,9.7,576,14.94,15.62
22.4,9.6,18,17.12,15.99
22.5,9.4,20,17.29,15.85
20.6,9.3,20,17.56,15.8
20.2,9.4,21,17.81,15.77
20.8,9.3,22,17.93,15.74
20.7,9.3,23,18.12,15.71
21.2,9.3,24,18.16,15.7
22.1,9.4,24,18.18,15.7
21.8,7.9,24,18.21,15.69
23.9,11.1,17,17.71,16.36
24,10.8,19,17.78,16.22
23.5,10.5,19,18.11,16
21.9,10.2,18,18.36,15.8
20.3,10,18,18.63,15.65
18.7,9.8,20,18.86,15.56
18.2,9.8,22,19.04,15.51
18.5,9.7,25,19.25,15.47
